order_id,refund_date,refund_amount,refund_reason
b9a6c5f5df52c7226ac85aee7524c27f,2018-06-17,99.0,late_delivery
261e71d2349c713eafa9f3df5972b95d,2018-01-26,157.77,cancelled_customer
67b50899f52995848c427e361e10dde3,2018-06-22,37.26,cancelled_customer
32733fc014b67ef70fa6039dd8c6ba82,2017-09-09,229.99,late_delivery
39a70e9e9b729b11dee34ac12478597f,2017-08-18,108.9,wrong_item
80000ae9d118d79953522e35cce34f13,2017-03-13,99.8,product_defect
2bfd14409ba8ba1153ce42b2abc44bb8,2017-12-25,152.0,late_delivery
faa01b7a24d0ba51d0d0ec652cd9b745,2018-07-15,41.89,late_delivery
06aa0aa8c22027ebb953d501c4238512,2018-04-30,69.9,cancelled_customer
3762c0ef92b5bc397671e6d7e6d5672f,2017-08-27,32.16,product_defect
4fab84dd561f10bb9c98293f34d749fa,2018-07-08,23.87,late_delivery
e6bed0846d5d268bf1ebcf66eab19a42,2018-03-26,497.7,late_delivery
e45620eb46de3b95c078fb17e75db83e,2018-06-19,144.0,cancelled_customer
8906cb0ae3ccbd4613940de05579b218,2018-02-15,163.0,late_delivery
a4b276bd4a9eba543ec90cdf29a67308,2017-06-26,69.9,cancelled_customer
5d9fde36e9b14f9c646577bb073b1486,2018-03-05,46.32,wrong_item
2790c1db6fab421570c3a789c96ffd46,2017-11-05,65.5,late_delivery
40ebc9d21ae5f5d7dfd398f87e63f455,2018-03-26,36.93,product_defect
3d5857f4fdb1061d247dea2544782580,2017-11-04,339.0,wrong_item
cdab66293e2e4ea2b956d8016c5ad97d,2017-12-23,115.0,wrong_item
d32fbb7b9c7d393b293c80e66091ee4b,2017-09-23,110.0,product_defect
fd22bd0610424ec9e62c1d98288b51e9,2017-03-22,34.9,product_defect
ced669a0f18cc433701f1011449b80fe,2018-07-01,35.0,late_delivery
f5a1d7fb9cd502618f942b1295676f1b,2018-01-19,69.9,product_defect
cd49c5c6f772ac87200f116a7a5499e5,2017-03-16,99.0,cancelled_customer
5fe9874b96028c851e35c1c28aede4c2,2018-01-26,149.99,cancelled_customer
0589d8b975f21fea2ad626ea99527911,2018-03-08,66.92,cancelled_customer
0d5fb8614978748bcfbef448c8a74a17,2018-08-16,181.5,cancelled_customer
ed8a6e0832d4fbbd240110423cd1b707,2017-12-07,49.0,cancelled_customer
9dabd200c58f609f380ecd1e44898086,2018-06-15,238.0,late_delivery
573cdc3b8d7f43d865aba5fbbc888802,2018-01-21,68.31,cancelled_customer
73287734c7b95e805d54a35d062627f2,2018-03-08,11.5,product_defect
12aab7cb25bc6ae86c66cb3e7dc35a76,2018-01-02,249.12,cancelled_customer
c0e1586eda89047d683b2bc7d902037c,2017-12-24,29.24,product_defect
0124e0c5bfae1979838a91e47df53f14,2018-02-11,33.39,late_delivery
26c032093452825fab1ef0adcde581ac,2018-08-20,31.68,cancelled_customer
848e76f65aa5d3843c356d8a68dfa5b5,2018-05-08,107.7,cancelled_customer
1227f9af3b2ddb0b95060aab8e5b3dc7,2018-05-22,20.95,cancelled_customer
5d1aca6ae03324b5398c241b3b402be7,2018-06-16,49.99,product_defect
ba16a6de753feb4dc0a6716cc3ddf951,2018-02-13,24.31,wrong_item
569d43a54c364df5b367ab33e96eacf0,2017-11-10,0.0,cancelled_customer
cdb67b9f52b1b7cd79169a5aae48d7c2,2018-03-17,55.25,product_defect
b2e5be9642d390480c19fbc80e533de6,2018-04-30,50.0,late_delivery
fd117d65267f58ad33d914a3cc317543,2018-03-30,99.0,cancelled_customer
6fd39a1adde54d0a5e6fe5ddc6c8784a,2018-04-15,199.0,product_defect
4cdf8813fc5f4c3d74041453f606868c,2017-10-17,229.99,cancelled_customer
5bb8d2fbca419676d395687e28f5263b,2018-07-15,64.99,product_defect
5f4942fc3a59f2e62ae534f981105954,2018-03-06,45.0,late_delivery
5b649740381032adc79831802d8d221a,2017-11-18,219.99,cancelled_customer
b68a52eb0d8bcd5f784a5f95b98a6cf6,2018-02-15,105.0,cancelled_customer
558731462aceb9588378c7c19194d2db,2018-05-16,1054.0,wrong_item
